    5C 1 2 3                                                                                                                                                                                                112                                                                                                333                                                                                                322                                                                                                201020012016
    6C 1 2                                                                                                                                                                                                  22                                                                                                 32                                                                                                 32                                                                                                 20072011
    9C 1                                                                                                                                                                                                    1                                                                                                  3                                                                                                  2                                                                                                  2016
   28C 1 2 3 4 5 6 7 8 9101112131415                                                                                                                                                                        121221111121122                                                                                    323332322323222                                                                                    322222222222222                                                                                    200620062006200720072007200620062006200920092007200620132013
   34C 1 2 3 4 5                                                                                                                                                                                            12121                                                                                              33211                                                                                              11111                                                                                              20162016201620152015
   37C 1 2 3 4 5 6 7                                                                                                                                                                                        1112112                                                                                            3322223                                                                                            2222222                                                                                            2018201820182018201820172017
   38C 1 2 3 4 5 6 7 8                                                                                                                                                                                      22212122                                                                                           32222222                                                                                           32222222                                                                                           20102003201020132013201020082008
   43C 1 2                                                                                                                                                                                                  12                                                                                                 33                                                                                                 11                                                                                                 20112016
   50C 1 2 3 4 5 6 7 8 91011121314151617181920212223242526                                                                                                                                                  21211122212222122222222222                                                                         33333332222223222223222232                                                                         32222222222222222222222222                                                                         20172017201720172017201720172005200520052005200520052017200520052005200520052005200520052005200520052005
   51C 1 2                                                                                                                                                                                                  12                                                                                                 32                                                                                                 22                                                                                                 20142014
   56C 1 2 3 4 5 6                                                                                                                                                                                          212212                                                                                             322222                                                                                             322221                                                                                             999819941994200719981998
   62C 1 2 3 4 5 6 7                                                                                                                                                                                        2222122                                                                                            3222223                                                                                            3222222                                                                                            2010201020032003201020072010
   65C 1 2 3 4 5 6 7 8 9101112131415161718192021222324252627282930                                                                                                                                          212222111121221222221221112212                                                                     323222232222223232222222221322                                                                     322222222222222222222222222222                                                                     201720142015201420142014201420142014201420142014201420142014201420142014201420142014201420142014201420142014201420142014
   67C 1 2 3 4 5 6 7 8 910111213141516                                                                                                                                                                      2222221121212111                                                                                   3222222222222222                                                                                   3222222222222222                                                                                   2017201720172017201720172017201720172017201720172017201720172017
   68C 1                                                                                                                                                                                                    2                                                                                                  3                                                                                                  3                                                                                                  2017
   69C 1 2                                                                                                                                                                                                  22                                                                                                 32                                                                                                 11                                                                                                 20042008
   76C 1 2 3 4                                                                                                                                                                                              1111                                                                                               3212                                                                                               3111                                                                                               1984198720102012
   79C 1 2 3 4                                                                                                                                                                                              2222                                                                                               3222                                                                                               3222                                                                                               1995199919951995
   82C 1 2 3 4 5 6 7 8 910                                                                                                                                                                                  2221112111                                                                                         3222222222                                                                                         1111111111                                                                                         9999999999999999999999999999999999999999
   83C 1 2                                                                                                                                                                                                  21                                                                                                 32                                                                                                 32                                                                                                 20162008
   85C 1 2 3 4 5 6 7 8 910111213141516                                                                                                                                                                      2122111211222221                                                                                   3332332333233333                                                                                   3222222222222222                                                                                   2014201420142014201420142014201420142014201420142014201420142014
   89C 1 2 3 4                                                                                                                                                                                              1211                                                                                               3333                                                                                               2222                                                                                               2016201620162016
   98C 1                                                                                                                                                                                                    2                                                                                                  3                                                                                                  1                                                                                                  2017
   99C 1 2 3 4 5 6 7 8                                                                                                                                                                                      12222222                                                                                           32223323                                                                                           32222222                                                                                           20162003201020102016201720092017
  106C 1 2 3 4 5                                                                                                                                                                                            22112                                                                                              32222                                                                                              32222                                                                                              19942003200320011996
  113C 1 2 3 4 5 6 7 8 9101112131415161718192021222324252627282930                                                                                                                                          222221122212222222222222222122                                                                     322222222222222222222222222222                                                                     312222222222222222222222222222                                                                     201220152005200520052010200520052005200520052005200520052005200520052005200520142005200620052005200520052005201320082016
  116C 1 2 3 4                                                                                                                                                                                              2222                                                                                               3222                                                                                               3222                                                                                               2016201620162016
  117C 1 2                                                                                                                                                                                                  11                                                                                                 32                                                                                                 12                                                                                                 19982017
  123C 1 2 3 4 5 6                                                                                                                                                                                          222222                                                                                             323332                                                                                             311111                                                                                             200620052015201420062015
  127C 1 2 3 4 5 6                                                                                                                                                                                          221222                                                                                             322232                                                                                             311111                                                                                             201420162015201720172017
  129C 1 2 3 4 5 6 7 8                                                                                                                                                                                      22222222                                                                                           32333333                                                                                           22222222                                                                                           20152015201520152015201520152015
  134C 1 2 3 4 5 6 7 8                                                                                                                                                                                      21211121                                                                                           33333333                                                                                           22222222                                                                                           20162016201620162016201620162016
  137C 1 2 3 4 5 6 7 8 91011121314151617                                                                                                                                                                    21221221221111112                                                                                  32232222322322332                                                                                  32222222222211111                                                                                  20132013201320132013201320132013201320132013201320122012201220122012
  143C 1 2 3 4 5 6 7                                                                                                                                                                                        2222222                                                                                            3323232                                                                                            3222222                                                                                            2003201120102009200320032003
  146C 1 2 3 4 5 6 7 8 91011121314151617181920212223                                                                                                                                                        22222211222111222222122                                                                            32222222222212122222222                                                                            32222222222222222222222                                                                            19982008200420081999199819981998200620082001199019962000200020052000200620012006201620161996
  147C 1 2 3 4                                                                                                                                                                                              2121                                                                                               3222                                                                                               3222                                                                                               2013201320152015
  151C 1 2 3 4 5                                                                                                                                                                                            22222                                                                                              33222                                                                                              32222                                                                                              20102010200320102011
  158C 1 2 3 4 5 6 7 8 9101112                                                                                                                                                                              212111121221                                                                                       322222222222                                                                                       322222222222                                                                                       201420142014201420142014201420142014201420142014
  160C 1 2 3 4 5 6                                                                                                                                                                                          221222                                                                                             322222                                                                                             322222                                                                                             201420142014201420142014
  162C 1 2 3 4 5 6 7 8 9101112131415161718192021222324                                                                                                                                                      222211111122112211121212                                                                           322222221121222111211211                                                                           322111111111111111111111                                                                           201520062006200620062006200620062006200620062006200620062006200620062006200620062006200620062006
  163C 1 2 3 4 5 6                                                                                                                                                                                          222211                                                                                             322222                                                                                             311111                                                                                             200320032003201720122013
  164C 1 2 3 4 5 6                                                                                                                                                                                          211211                                                                                             311111                                                                                             311111                                                                                             200720092009201120062006
  176C 1 2 3                                                                                                                                                                                                221                                                                                                323                                                                                                111                                                                                                201119992015
  177C 1 2 3 4 5 6 7 8 910111213141516                                                                                                                                                                      2222222222221222                                                                                   3222222222999999                                                                                   2222222222111111                                                                                   2003201420061999201720112003200620112015201820182018201820182018
  179C 1 2 3 4 5                                                                                                                                                                                            22211                                                                                              33333                                                                                              32222                                                                                              20182018201820182018
  184C 1 2 3 4 5 6                                                                                                                                                                                          222221                                                                                             322222                                                                                             322222                                                                                             201019981998199819981998
  186C 1 2 3 4 5                                                                                                                                                                                            22221                                                                                              32222                                                                                              31111                                                                                              20022002200220022002
  191C 1 2 3 4 5 6 7 8 91011121314151617181920212223                                                                                                                                                        22222222111221112222222                                                                            32222222221222322222222                                                                            31111111111111111222221                                                                            19842006200620011990200619912003198499991985999999999999201620169999200699999999999920179999
  193C 1                                                                                                                                                                                                    2                                                                                                  3                                                                                                  2                                                                                                  2017
  196C 1 2                                                                                                                                                                                                  22                                                                                                 32                                                                                                 21                                                                                                 20182018
  197C 1 2 3 4                                                                                                                                                                                              2222                                                                                               3322                                                                                               3222                                                                                               2010201020102007
  200C 1 2 3 4                                                                                                                                                                                              2221                                                                                               3233                                                                                               3222                                                                                               2010201820182018
  204C 1 2 3 4 5 6 7                                                                                                                                                                                        1222122                                                                                            3222222                                                                                            3222222                                                                                            2013201320132013201320132013
  205C 1 2 3 4                                                                                                                                                                                              2222                                                                                               3222                                                                                               3111                                                                                               2014200320032010
  207C 1 2 3 4 5 6                                                                                                                                                                                          221221                                                                                             333333                                                                                             111111                                                                                             200820082008200820082008
  209C 1 2 3 4 5 6                                                                                                                                                                                          122121                                                                                             322212                                                                                             222212                                                                                             199620101992201020171996
  212C 1                                                                                                                                                                                                    1                                                                                                  3                                                                                                  1                                                                                                  2001
  213C 1 2 3 4 5 6 7 8 9101112131415161718192021222324252627                                                                                                                                                121222111121121222222122111                                                                        322122122221221222222212211                                                                        322222222222222222222222222                                                                        999820112010199320112011199320102013201020131997199819961996199619961998199819962010201019922010199319962010
  215C 1 2 3 4                                                                                                                                                                                              2122                                                                                               3222                                                                                               3222                                                                                               1998201020101996
  216C 1 2 3 4 5 6 7 8 9                                                                                                                                                                                    111111122                                                                                          399999933                                                                                          311111111                                                                                          198820102010200020102010201020102010
  217C 1 2 3 4 5 6                                                                                                                                                                                          222221                                                                                             399999                                                                                             322222                                                                                             199619961998199619961997
  218C 1                                                                                                                                                                                                    1                                                                                                  3                                                                                                  3                                                                                                  2004
  221C 1 2                                                                                                                                                                                                  21                                                                                                 31                                                                                                 11                                                                                                 20142015
